City,Country,Lat,Lng,Date,Cloudiness,Humidity,Wind speed,Temp (F)
paka,my,4.64,103.44,1551643200,8,94,0.77,68.0
ilulissat,gl,69.22,-51.1,1551642600,76,78,1.22,17.6
koumac,nc,-20.56,164.28,1551644966,76,94,4.47,77.80460000000001
hearst,ca,49.69,-83.67,1551644968,48,45,1.67,7.1096000000000465
noumea,nc,-22.28,166.46,1551641400,0,100,2.32,73.4
makinsk,kz,52.63,70.42,1551644970,76,91,8.57,28.079600000000006
hammerfest,no,70.66,23.68,1551643020,20,68,11.3,25.808000000000003
inirida,co,3.87,-67.92,1551644972,20,74,1.27,84.55460000000001
saryozek,kz,44.36,77.98,1551644975,68,98,1.22,24.614600000000088
hauzenberg,de,48.37,13.04,1551644958,75,65,5.1,44.88800000000005
oksfjord,no,70.24,22.35,1551643020,90,73,8.2,21.11000000000008
sidi ali,dz,36.1,0.42,1551644978,0,86,1.12,49.85960000000004
coquimbo,cl,-29.95,-71.34,1551643200,20,68,6.2,68.0
lahij,ye,13.06,44.88,1551644981,64,95,1.17,70.28960000000009
zaragoza,mx,19.77,-97.56,1551644982,0,18,1.47,81.8546
felanitx,es,39.47,3.15,1551644536,40,100,2.6,57.30800000000001
kieta,pg,-6.22,155.63,1551644815,24,100,1.97,78.83960000000009
kavaratti,in,10.57,72.64,1551644986,0,100,5.17,81.94460000000002
keffi,ng,8.85,7.88,1551643200,44,31,1.5,87.8
bukama,cd,-9.2,25.85,1551644989,48,95,2.07,69.92960000000001
novouzensk,ru,50.46,48.14,1551644990,48,84,7.02,17.009600000000045
necocli,co,8.42,-76.79,1551639600,20,59,5.1,89.6
youghal,ie,51.95,-7.85,1551644940,20,93,4.1,35.54600000000005
lalsk,ru,60.74,47.59,1551644994,44,73,3.52,2.6546000000000056
eidsvag,no,62.78,8.07,1551642600,40,96,5.7,38.3
champerico,gt,14.3,-91.92,1551643200,40,52,4.1,91.4
almenara,br,-16.17,-40.69,1551644997,44,57,2.57,82.39460000000003
cabra,ph,13.89,120.05,1551644998,20,96,3.77,80.50460000000001
dingle,ie,52.14,-10.27,1551643200,40,93,0.5,37.4
mandalgovi,mn,45.76,106.27,1551645007,56,71,1.77,18.494600000000027
araouane,ml,18.9,-3.53,1551645008,0,29,1.87,58.67960000000001
mumford,gh,5.26,-0.76,1551645010,24,82,3.97,81.35960000000004
lubumbashi,cd,-11.66,27.48,1551644772,20,95,3.22,66.50960000000005
szekkutas,hu,46.5,20.53,1551644719,0,65,4.6,44.51000000000008
mae hong son,th,19.3,97.97,1551645013,0,77,0.67,59.75960000000005
westport,nz,-41.75,171.6,1551645017,8,96,0.87,55.03460000000005
umm lajj,sa,25.02,37.27,1551645004,0,100,2.07,56.15960000000005
mpika,zm,-11.84,31.4,1551645019,64,72,1.42,67.09460000000003
anuradhapura,lk,8.34,80.41,1551645020,0,94,2.07,71.23460000000004
barbosa ferraz,br,-24.03,-52.01,1551645022,0,41,2.52,87.52460000000006
ivanovka,ru,50.81,43.66,1551643458,92,81,5.36,23.486000000000068
batagay-alyta,ru,67.8,130.41,1551645024,36,32,1.17,-23.625399999999935
namibe,ao,-15.19,12.15,1551645026,8,100,4.37,76.58960000000009
turukhansk,ru,65.8,87.96,1551645027,56,78,6.72,15.659600000000047
bakchar,ru,57.02,82.07,1551645028,88,82,5.02,28.979600000000005
madang,pg,-5.21,145.81,1551645030,92,100,2.47,72.35960000000004
laplace,us,30.07,-90.48,1551644853,90,88,8.2,65.35400000000006
les cayes,ht,18.19,-73.75,1551645033,0,94,7.12,79.69460000000002
zalantun,cn,48.0,122.72,1551645034,0,66,1.07,15.614600000000088
challans,fr,46.85,-1.88,1551645002,92,87,9.8,52.16000000000008
karatuzskoye,ru,53.61,92.87,1551645036,24,63,1.07,14.894600000000025
newcastleton,gb,55.18,-2.81,1551645007,92,100,5.7,34.44800000000002
mirabad,af,30.44,61.84,1551645039,100,91,0.92,51.794600000000024
shache,cn,38.42,77.24,1551644841,20,94,1.32,33.998000000000026
mogadishu,so,2.04,45.34,1551644903,36,100,5.32,79.37960000000001
denpasar,id,-8.65,115.22,1551643200,20,88,1.0,78.8
nortelandia,br,-14.45,-56.8,1551645044,32,63,1.67,87.88460000000005
trat,th,12.25,102.51,1551645046,88,100,4.02,79.69460000000002
nador,ma,35.17,-2.93,1551643200,0,82,1.0,53.52800000000006
pemberton,ca,50.32,-122.8,1551643200,5,29,2.1,23.0
ancud,cl,-41.87,-73.83,1551643200,90,100,3.1,53.6
peace river,ca,56.23,-117.29,1551643200,5,49,4.6,-2.199999999999946
palana,ru,59.08,159.95,1551645052,80,77,2.67,10.079600000000006
green river,us,41.53,-109.47,1551644161,1,65,1.82,14.468000000000085
ust-kuyga,ru,70.0,135.55,1551645056,64,59,1.47,-20.970399999999948
ahuimanu,us,21.44,-157.84,1551645035,1,64,5.1,73.67000000000006
progreso,mx,20.25,-99.19,1551645058,0,22,1.92,83.83460000000005
karratha,au,-20.74,116.85,1551645045,76,49,0.62,80.9546
mana,gf,5.67,-53.78,1551645062,44,57,2.57,82.88960000000009
longfeng,cn,31.05,103.87,1551643200,40,76,1.0,53.6
vostok,ru,46.45,135.83,1551645064,0,61,0.87,3.059600000000046
santo antonio de posse,br,-22.61,-46.92,1551644753,75,88,4.6,74.94800000000002
shenavan,am,40.48,44.38,1551643200,88,80,2.1,29.966000000000008
port augusta,au,-32.49,137.76,1551644881,8,82,3.6,69.60200000000007
kimbe,pg,-5.56,150.15,1551645069,76,100,1.62,77.80460000000001
pomabamba,pe,-8.82,-77.46,1551645071,24,97,0.62,51.83960000000009
tikrit,iq,34.62,43.68,1551645072,56,70,3.32,46.124600000000065
synya,ru,65.37,58.04,1551645073,24,81,2.42,-5.490399999999951
pangnirtung,ca,66.15,-65.72,1551643200,90,76,2.1,-11.199999999999946
altea,es,38.6,-0.05,1551645022,0,76,1.0,58.91000000000008
saryg-sep,ru,51.49,95.55,1551645078,0,58,0.72,-0.7203999999999411
moyale,et,3.52,39.05,1551645080,32,77,1.17,67.13960000000009
antequera,py,-24.09,-57.2,1551645081,0,47,1.22,93.3296
kharan,pk,28.58,65.42,1551645030,0,83,0.72,43.69460000000002
ingham,au,-18.65,146.16,1551644970,100,100,6.87,75.95960000000005
jiuquan,cn,39.73,98.49,1551645085,0,42,1.42,6.614600000000088
peniche,pt,39.36,-9.38,1551645059,20,82,4.6,57.61400000000003
sobolevo,ru,54.43,31.9,1551645088,88,94,5.57,29.924600000000066
dodoma,tz,-6.18,35.75,1551639600,20,83,1.22,71.6
dubrovnik,hr,42.65,18.09,1551643200,0,100,2.6,46.65200000000008
do gonbadan,ir,30.36,50.8,1551643200,0,70,0.77,46.4
fort frances,ca,48.61,-93.4,1551645043,20,49,4.1,-1.7319999999999638
jiayuguan,cn,39.77,98.29,1551645095,0,42,1.42,6.614600000000088
ambon,id,-3.7,128.18,1551644809,48,70,3.22,78.54800000000003
bardiyah,ly,31.76,25.09,1551645097,56,93,5.47,58.724600000000066
almaznyy,ru,48.03,40.04,1551643200,40,86,7.0,26.6
ludvika,se,60.15,15.18,1551645007,68,100,1.5,26.204000000000054
nurota,uz,40.56,65.69,1551643200,90,71,3.1,50.0
portland,au,-33.35,149.98,1551644993,0,87,0.97,62.51000000000008
latung,ph,5.5,120.88,1551645104,0,99,3.22,82.5296
pontianak,id,-0.02,109.34,1551644837,56,99,2.12,76.27460000000006
mopipi,bw,-21.2,24.86,1551645111,20,27,2.27,80.05460000000001
tilichiki,ru,60.47,166.1,1551644925,56,76,2.37,13.994600000000027
kawalu,id,-7.38,108.21,1551645113,88,98,0.97,67.4546
talaya,ru,55.79,84.89,1551645029,40,74,8.0,33.908
hanna,ca,51.64,-111.93,1551644944,0,68,6.26,4.406000000000027
roald,no,62.58,6.12,1551645069,90,93,3.1,37.13000000000004
sisimiut,gl,66.94,-53.67,1551644932,32,73,0.77,-0.27039999999994535
cockburn town,tc,21.46,-71.14,1551645119,0,96,7.52,78.43460000000005
livingstone,zm,-17.84,25.85,1551645120,68,41,2.47,80.23460000000004
jiamusi,cn,46.81,130.37,1551645122,8,58,0.97,15.389600000000087
kruisfontein,za,-34.0,24.73,1551644984,0,85,2.42,63.35960000000004
mutoko,zw,-17.4,32.23,1551645124,8,71,2.27,67.54460000000003
cabimas,ve,10.39,-71.44,1551644843,8,69,1.32,87.83960000000009
ginir,et,7.14,40.71,1551645126,0,70,1.17,59.75960000000005
lusambo,cd,-4.97,23.44,1551645128,76,95,0.17,71.2796
sitka,us,37.17,-99.65,1551645087,68,77,3.13,10.994000000000074
sabancuy,mx,18.97,-91.18,1551645130,0,83,1.27,84.64460000000003
zyryanka,ru,65.73,150.89,1551645131,0,59,2.32,-20.655399999999972
santa cruz,cr,10.26,-85.58,1551643200,40,44,7.7,93.2
flinders,au,-34.58,150.85,1551645006,0,100,3.6,67.64000000000001
ottawa,us,38.62,-95.27,1551645122,1,47,7.2,12.866000000000007
vostochnyy,ru,55.82,37.87,1551643200,0,85,3.0,22.640000000000022
besenyotelek,hu,47.7,20.43,1551645126,0,70,5.1,41.32400000000001
neuquen,ar,-38.95,-68.06,1551643200,0,21,2.1,80.6
port lincoln,au,-34.72,135.86,1551645028,0,100,3.77,62.954600000000006
george,za,-33.96,22.46,1551643200,0,88,2.6,64.4
teguldet,ru,57.31,88.17,1551645146,88,91,3.97,31.139600000000087
kanniyakumari,in,8.08,77.57,1551645147,8,100,0.72,82.03460000000004
ocampo,mx,27.32,-102.4,1551645148,0,22,1.52,76.72460000000007
chernyshevskiy,ru,63.01,112.47,1551645149,56,76,1.97,6.839600000000086
capitan bado,py,-23.27,-55.53,1551645151,0,49,2.17,87.83960000000009
